,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,450,278,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,88,63,0,0,82,176,280,80,0,0,0,0,0,0,0,0,0,0,0,0,351,231,143,0,0,0,0,0,80,87,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,122,291,0,0,0,0,0,0,220,341,333,0,0,0,0,0,0,0,0,0,0,0,258,339,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,322,569,396,0,0,0,0,0,0,0,0,0,0,0,82,279,44,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,218,382,86,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,186,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,79,159,0,0,0,61,198,244,0,55,144,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,121,64,88,388,333,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,178,247,208,175,183,202,82,74,0,0,0,0,0,0,0,0,0,0,0,0,72,133,132,126,208,269,273,212,162,73,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,40,124,156,188,197,196,137,196,212,151,0,0,0,0,0,0,0,0,0,0,0,0,128,141,122,143,191,199,189,200,172,120,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,83,109,154,174,187,171,154,201,198,157,0,0,0,0,0,0,0,0,0,0,0,0,123,163,148,127,162,168,186,151,180,142,105,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,92,132,139,153,149,151,160,161,172,184,154,0,0,0,0,0,0,0,0,0,0,0,0,111,170,153,130,142,146,163,166,168,168,99,85,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,108,165,152,138,161,146,163,130,173,171,88,0,0,0,0,0,0,0,0,0,0,0,0,94,99,100,85,144,149,161,166,201,177,146,148,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,93,134,161,202,174,160,99,96,108,158,103,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,84,76,81,149,179,217,209,209,210,87,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,177,208,207,230,196,110,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,202,286,280,304,281,133,0,0,0,0,0,0,0,0,0,0
