,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
36,,,,,,,,,,,,,,,60.0,207.0,196.0,225.0,231.0,235.0,221.0,,,,,,,,,,,,,,,195.0,286.0,273.0,255.0,210.0,206.0,113.0,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,56.0,191.0,192.0,200.0,221.0,259.0,210.0,64.0,,,,,,,,,,,,,,185.0,226.0,275.0,260.0,250.0,187.0,106.0,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,219.0,195.0,247.0,245.0,248.0,186.0,43.0,,,,,,,,,,,,,,210.0,204.0,299.0,269.0,248.0,209.0,65.0,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,176.0,232.0,262.0,252.0,225.0,195.0,,,,,,,,,,,,,,,203.0,257.0,260.0,322.0,255.0,230.0,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,266.0,283.0,325.0,211.0,96.0,,,,,,,,,,,,,,,,293.0,331.0,339.0,271.0,134.0,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,304.0,333.0,179.0,,,,,,,,,,,,,,,,,,340.0,419.0,92.0,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
